Title,Assignees,For,Start date,End date,Exceeding,Details,Finally made by
implement search storage for unauth user,siegward-from,Front end,"Dec 2, 2024","Dec 2, 2024",,,
implement recommendation registration,siegward-from,Api,"Dec 3, 2024","Dec 5, 2024",,,
write recommendation registration test,siegward-from,Api,"Dec 5, 2024","Dec 23, 2024",,,
implement recommendation comments posting,vaprez,Api,"Dec 2, 2024","Dec 2, 2024",,,
implement recommendation comments posting test,vaprez,Api,"Dec 3, 2024","Dec 5, 2024",,,
implement recommendation like posting,Pascal-Vigneau-Pierlovisi,Api,"Dec 2, 2024","Dec 5, 2024",,,
implement recommendation like posting test,Pascal-Vigneau-Pierlovisi,Api,"Dec 5, 2024","Dec 5, 2024",,,
implement instagram api linkage,yahvya,Api,"Dec 3, 2024","Dec 5, 2024",,,
implement instagram post get and formatting,yahvya,Api,"Dec 5, 2024","Dec 20, 2024",,,
implement instagram post get and formatting test,yahvya,Api,"Dec 20, 2024","Dec 25, 2024",,,
implement user social profile building,"vaprez, yahvya",Api,"Dec 5, 2024","Dec 27, 2024",,,
implement social profile based recommendation,"Pascal-Vigneau-Pierlovisi, yahvya",Api,"Dec 27, 2024","Jan 3, 2025",,,
implement social profile based recommendation registration,Pascal-Vigneau-Pierlovisi,Api,"Dec 20, 2024","Dec 23, 2024",,,
implement social profile based recommendation registration test,Pascal-Vigneau-Pierlovisi,Api,"Dec 25, 2024","Dec 26, 2024",,,
implement social profile based travel route generation,"siegward-from, vaprez",Api,"Dec 27, 2024","Jan 3, 2025",,,
implement social profile based travel route generation registration,siegward-from,Api,"Dec 23, 2024","Dec 27, 2024",,,
implement social profile based travel route generation registration test,siegward-from,Api,"Dec 23, 2024","Dec 27, 2024",,,
Implement front end link with api,"siegward-from, yahvya",Front end,"Dec 2, 2024","Dec 3, 2024",,,
